,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,2.177582126123781,2.1025131999999997,2.245312550433188,2.1211019715792627,2.513540974107978,14.590484724386545,2.5526153899154274,2.008558169583524,2.5885488937719043,2.192809771612967,2.323762723723275,2.242978101349217,2.5243735065525996,2.373456735142762,2.3879516355793045,2.4032318156566475,2.270406373208924,2.553133672908481,2.605807101740109,2.549947308157885
2015-01-01 01:00:00,2.1500502475189873,2.0867574999999996,2.234598582505473,2.068315794623869,2.47626238841099,6.317842903769762,2.5531058885107942,2.0014412584436023,2.6039645019280626,2.207818046514122,2.3487067209093144,2.221847556077859,2.5110220639695475,2.3750699110651428,2.396481035975965,2.3965182746245755,2.251354140486507,2.558826392536301,2.61012673956143,2.5570059693211187
2015-01-01 02:00:00,2.114058152059277,2.065926299999999,2.214849610063191,2.1124657613780102,2.4756729802968773,6.317842903769762,2.5604579028926704,1.9949689940100315,2.603826049431163,2.224425128169824,2.358935140939522,2.203664920631583,2.4968003283555085,2.3846703096552044,2.4093241288149896,2.3667101936491353,2.2496141794049738,2.548784723703957,2.6035864878871813,2.5330797180536564
2015-01-01 03:00:00,2.0935648774098405,2.0607500000000005,2.2136669371895765,2.0996730313198544,2.4700699355255225,6.317842903769762,2.5697429887517806,1.9893526931438594,2.6048251314322606,2.2426617508083124,2.362945318786504,2.181908490840317,2.512634525214788,2.4140153281931136,2.4057500781924013,2.3759634681301973,2.2438127999999997,2.5377289215283776,2.6016705291704936,2.517728318361177
2015-01-01 04:00:00,2.092156191524995,2.065926299999999,2.209980792641933,2.065855833433761,2.4470448032616874,6.317842903769762,2.5565339032193943,1.9845314327740753,2.6122798106115424,2.2775237528379018,2.3656441858705604,2.18276836034663,2.467147675538958,2.4272659961723297,2.4100387291977894,2.346076809659764,2.224961803259519,2.557687572672732,2.5680869403439215,2.517182076858245
2015-01-01 05:00:00,2.071710115100896,2.065926299999999,2.1820173297354737,2.075979275063613,2.422165119321457,6.317842903769762,2.531583800077363,1.9783124992613157,2.6113710754427824,2.282141112404692,2.375713337894394,2.169059673082042,2.437782454000672,2.37938587515848,2.4024193948181036,2.3259225533953085,2.2211311040676507,2.5383594987562903,2.5556398358412147,2.525428408217538
2015-01-01 06:00:00,2.063332017395224,2.065926299999999,2.1711959667561036,2.069715039406579,2.3748623580576744,6.317842903769762,2.5302605923316213,1.9788225246330429,2.61492860887624,2.3097521904969804,2.401346676787003,2.15750044132812,2.4413507395890566,2.418604545588039,2.4024193948181036,2.304729669915101,2.213487704040656,2.504294114915001,2.5390454133092106,2.518834003588795
2015-01-01 07:00:00,2.0678647479631636,2.0607500000000005,2.160998425101254,2.0471369011326974,2.3454004207769863,6.317842903769762,2.54240653100413,1.9736578801334588,2.604933806419157,2.3187340203940883,2.3992516291881523,2.1440075673362164,2.5255057810879222,2.4193872079021,2.4057500781924013,2.307907449678063,2.206061523051912,2.480942514731158,2.5410965862248935,2.5112250928306583
2015-01-01 08:00:00,2.090836330924435,2.065926299999999,2.1532169466797733,2.0490486271745842,2.316358479309608,6.317842903769762,2.554079695808735,1.9798488621413473,2.578774718399016,2.3061574999999994,2.382198726383878,2.1693659838547035,2.527666287788634,2.4858512665998687,2.3834595042272153,2.394326089745677,2.2100620706425773,2.4808016821653824,2.6304364746509417,2.5023283006771715
2015-01-01 09:00:00,2.1245630094534986,2.0711151999999995,2.156316307397769,2.059092118089206,2.3274025192539147,6.317842903769762,2.5511956749437736,1.9855522008781268,2.597462012990253,2.370136826672506,2.362162551450158,2.2782987508241725,2.521114376468948,2.610884044659909,2.379211499276895,2.500898210932883,2.2328365544737787,2.5975837726403457,2.8016914441076706,2.5238472974417547
