,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,3.2335042207807616,3.0322080000000002,3.4183771147186253,3.081680970906128,4.176332733342891,4.157405185905004,4.289745937076582,2.786204767769411,4.39463991805389,3.2748098879458603,3.636032079133358,3.4119567342055075,4.207704869890246,3.775716198784583,3.8167104470549758,3.860044719580442,3.4876022245656753,4.291254848586834,4.445216086441944,4.2819800573275515
2015-01-01 01:00:00,3.159219360424023,2.990475,3.3889385482259438,2.941866103254941,4.068786174209422,4.076905002652249,4.291173955019398,2.7678622278014555,4.43981022928485,3.315669677652525,3.705977969885751,3.353996267129188,4.169045420932598,3.7802730616710303,3.8408846993085715,3.8409903250961452,3.4350087271047998,4.3078362478402115,4.4578947253337615,4.3025322778520625
2015-01-01 02:00:00,3.0629045677566853,2.935587,3.3348631558235073,3.0586647968662954,4.067091028871251,4.19136503473721,4.312591041997074,2.7512187155388523,4.439404092290024,3.3610514561769627,3.734758550991565,3.3043481994635693,4.127956442802827,3.807420555569537,3.8773560444491104,3.7566737521117415,3.430216572509203,4.278597156602398,4.43870138078587,4.232957688639197
2015-01-01 03:00:00,3.00848329312549,2.922,3.331632691840613,3.024671403380594,4.050984901589499,4.072979764595245,4.339673253641796,2.736805604990708,4.442334983808232,3.411086941640198,3.746057800746738,3.2452240045846206,4.173710002291723,3.890699053772055,3.8671980582539636,3.7827977564342157,3.4142520000000003,4.246456969559371,4.43308212534753,4.188453349266227
2015-01-01 04:00:00,3.0047538853776192,2.935587,3.321569763232181,2.9354018956470855,3.9849577377130396,3.9933712706786837,4.301157108375759,2.724454694647898,4.464217161650484,3.5073056421578674,3.753667119744429,3.247554812136542,4.042590753321449,3.9284478108932896,3.87938783069672,3.6985871820059995,3.3625209424617117,4.304518020792271,4.334840225383003,4.186871751665441
2015-01-01 05:00:00,2.9507932928922287,2.935587,3.2455190017950692,2.962033964789809,3.9139058283987604,3.8457497131867275,4.228616259715173,2.708553398318501,4.4615484480801815,3.5201042056246825,3.7820909849382955,3.2104543201868965,3.958470124422402,3.7924714882162847,3.85773766577488,3.6420747998591168,3.352035981599874,4.248288642323216,4.29855288194574,4.210762836551944
2015-01-01 06:00:00,2.9287747869889493,2.935587,3.2162275580916457,2.9455450891759467,3.7796866931035336,3.737182898153827,4.224776910250669,2.709856206762943,4.471997947705779,3.5968977184910598,3.8546919602852276,3.1792698599003355,3.9686693550144696,3.9037628454881306,3.85773766577488,3.5828959785019565,3.331143195690812,4.14959554453524,4.250281259132488,4.191655188616558
2015-01-01 07:00:00,2.9406805053579435,2.922,3.1886970768895053,2.8863683411794896,3.6966869523317234,3.679757167850885,4.26004852555527,2.696674303029482,4.442653816432033,3.6219730649369506,3.84874532795282,3.142985153481211,4.210987146244774,3.905991860328238,3.8671980582539636,3.591753286795801,3.310880009290707,4.082252156990514,4.256241279703194,4.169632683627448
2015-01-01 08:00:00,3.001260988014913,2.935587,3.1677371220457693,2.891363322467396,3.6153366062505228,3.6634823098248948,4.294009373940313,2.712478579603668,4.366052510332718,3.586875,3.80042689399923,3.211281921633461,4.217251713495688,4.0963871392209565,3.8039940247601036,3.834773515837437,3.321791552635273,4.081846791670647,4.517610473200458,4.143916517976314
2015-01-01 09:00:00,3.090920045040112,2.949228,3.176080472373174,2.9176527456877035,3.646216924686005,3.825806300741302,4.285613236240263,2.727067961762332,4.420744548260356,3.7663425557438823,3.7438515607698557,3.5094529282960947,4.198260449904709,4.460118310446075,3.79197844969621,4.139786271113103,3.3841038942326533,4.421101390314586,5.027597658034672,4.206179675332987
2015-01-01 10:00:00,3.2427139278705877,2.976672,3.2868249672536045,2.990475,3.775485808996204,3.9908215008803722,4.259085492101622,2.7529546851597795,4.660319325654328,3.9209866016394375,3.707744002293748,3.8623425153543116,4.381372278379109,4.609825502575379,3.7700208559407145,4.448061240297865,3.467692221156631,4.724550006774542,5.155004050513413,4.61729377293472
2015-01-01 11:00:00,3.326146623094808,3.0043320000000002,3.398978615941173,3.235854589958682,3.871151387428386,4.165994562342257,4.258217653292959,2.804387210040237,4.778046186794565,4.134654876317229,3.7705297066346106,4.259958404977934,4.558187827566777,4.5047751128493445,3.8489605600957013,4.470583333795927,3.5261123087441106,4.793297385643664,5.224312758216493,4.989686658304709
2015-01-01 12:00:00,3.4208103452097913,3.0322080000000002,3.5011724873710057,3.7266229316409656,3.996444307831394,4.321151237110235,4.27115233933545,2.8393013197995782,4.992640640674336,4.3147922812357695,3.8109565616617216,4.614391068701714,4.586718180915721,4.65107649741023,3.9476053105651054,4.547877065515641,3.637353111556561,4.800119492602153,5.264278164009517,5.2420448644960125
2015-01-01 13:00:00,3.4576961585010375,3.0322080000000002,3.5177197412200245,3.9314769503169886,4.090925321248055,4.47825196811712,4.250589589028205,2.8633823612189273,5.126112170156761,4.384555898020553,3.596949365858958,4.78546843683702,4.59161577122372,4.596055580158399,4.0789042345102615,4.555736625743052,3.674825240706787,4.905402169125475,5.179430757748625,5.4456906424170315
2015-01-01 14:00:00,3.4247390739784676,3.0603000000000002,3.6051567470976407,4.108936063705193,4.147232114709585,4.5431157166082095,4.226964276178173,2.8958426807759774,5.201801538517806,4.375748948371003,3.5830082890356,4.8020575027232635,4.630900714833429,4.51399607872545,4.10638332423515,4.466257483784805,3.6680699638919494,4.9784844668565995,5.165354164256852,5.420176743808507
